exam,Exam Block,slot,size,b2bs,confs,2i3s,score,score_norm
M12353E1,3,5,105,0,2,41,2000.0,19.047619047619047
C81MJAE1,13,13,130,12,2,27,2012.0,15.476923076923077
LK10RAE1,18,31,16,3,0,6,3.0,0.1875
G111CCE1,20,10,59,11,0,15,11.0,0.1864406779661017
V72AINE1,11,33,33,6,0,12,6.0,0.18181818181818182
LK10IAE1,14,12,53,9,0,17,9.0,0.16981132075471697
V7A101E1,10,36,83,13,0,27,13.0,0.1566265060240964
V7A211E1,8,34,53,8,0,20,8.0,0.1509433962264151
N1A110E1,14,12,83,12,0,40,12.0,0.14457831325301204
M11351E1,12,6,78,11,0,14,11.0,0.14102564102564102
R42103E1,1,7,36,5,0,4,5.0,0.1388888888888889
Q3A308E1,14,12,26,3,0,7,3.0,0.11538461538461539
L31097E1,4,31,62,7,0,17,7.0,0.11290322580645161
Q3A201E1,13,13,64,7,0,4,7.0,0.109375
N1B420E1,17,10,19,2,0,1,2.0,0.10526315789473684
V12131E1,12,9,21,2,0,4,2.0,0.09523809523809523
M1B359E1,12,13,22,2,0,0,2.0,0.09090909090909091
V12129E1,16,30,12,1,0,3,1.0,0.08333333333333333
M11341E1,3,4,85,7,0,18,7.0,0.08235294117647059
F311Z1E1,7,34,144,11,0,63,11.0,0.0763888888888889
V7A105E1,15,31,40,3,0,17,3.0,0.075
F311X4E1,16,30,67,5,0,2,5.0,0.07462686567164178
R4A101E1,1,7,68,5,0,10,5.0,0.07352941176470588
M31006E1,2,6,82,6,0,46,6.0,0.07317073170731707
V11111E1,21,25,114,8,0,15,8.0,0.07017543859649122
R11002E1,13,13,89,6,0,11,6.0,0.06741573033707865
L81112E1,22,24,89,6,0,24,6.0,0.06741573033707865
N11103E1,15,8,90,6,0,53,6.0,0.06666666666666667
V42103E1,12,31,15,1,0,0,1.0,0.06666666666666667
AAA024E1,1,7,31,2,0,8,2.0,0.06451612903225806
N1B409E1,14,13,31,2,0,9,2.0,0.06451612903225806
V7A216E1,9,28,31,2,0,5,2.0,0.06451612903225806
B11102E1,8,9,110,7,0,3,7.0,0.06363636363636363
V6A100E1,10,36,96,6,0,55,6.0,0.0625
V11107E1,1,7,64,4,0,20,4.0,0.0625
V7A204E1,4,8,65,4,0,37,4.0,0.06153846153846154
Q4A101E1,5,3,49,3,0,7,3.0,0.061224489795918366
LK10GAE1,9,35,50,3,0,22,3.0,0.06
M1B380E1,14,12,17,1,0,3,1.0,0.058823529411764705
V6B329E1,10,10,17,1,0,2,1.0,0.058823529411764705
C81HBAE1,7,37,171,10,0,17,10.0,0.05847953216374269
Q8A310E1,2,37,52,3,0,3,3.0,0.057692307692307696
V11109E1,16,30,73,4,0,1,4.0,0.0547945205479452
V11103E1,4,9,55,3,0,18,3.0,0.05454545454545454
N1B407E1,19,12,38,2,0,4,2.0,0.05263157894736842
Q4A210E1,15,31,39,2,0,5,2.0,0.05128205128205128
Q31301E1,20,23,80,4,0,5,4.0,0.05
N13301E1,3,5,20,1,0,11,1.0,0.05
LKA1FAE1,9,35,141,7,0,59,7.0,0.04964539007092199
V61110E1,9,34,62,3,0,46,3.0,0.04838709677419355
LK10FAE1,5,3,44,2,0,6,2.0,0.045454545454545456
V11105E1,14,12,66,3,0,5,3.0,0.045454545454545456
L3B032E1,7,37,48,2,0,2,2.0,0.041666666666666664
LK10SAE1,1,7,74,3,0,26,3.0,0.04054054054054054
C81IAAE1,1,7,100,4,0,34,4.0,0.04
H7CCNGE1,12,9,25,1,0,4,1.0,0.04
J5CCRME1,25,37,25,1,0,3,1.0,0.04
L31109E1,2,8,52,2,0,40,2.0,0.038461538461538464
F311A1E1,19,27,52,2,0,41,2.0,0.038461538461538464
L11100E1,20,26,160,6,0,132,6.0,0.0375
L3B030E1,1,7,27,1,0,8,1.0,0.037037037037037035
AAA013E1,21,25,55,2,0,26,2.0,0.03636363636363636
C81HDAE1,19,27,194,7,0,25,7.0,0.03608247422680412
V42124E1,4,4,28,1,0,13,1.0,0.03571428571428571
AAA022E1,11,33,28,1,0,8,1.0,0.03571428571428571
R22110E1,20,26,28,1,0,10,1.0,0.03571428571428571
F311Q1E1,12,9,157,5,0,48,5.0,0.03184713375796178
V12123E1,8,34,32,1,0,5,1.0,0.03125
V81101E1,18,28,32,1,0,2,1.0,0.03125
L12330E1,15,30,35,1,0,33,1.0,0.02857142857142857
F311E1E1,8,25,106,3,0,40,3.0,0.02830188679245283
C8COUAE1,10,12,37,1,0,1,1.0,0.02702702702702703
L11101E1,16,30,189,5,0,9,5.0,0.026455026455026454
LKC3FAE1,1,7,77,2,0,28,2.0,0.025974025974025976
M3A019E1,24,22,42,1,0,1,1.0,0.023809523809523808
H7CFAME1,10,36,43,1,0,27,1.0,0.023255813953488372
C81HCAE1,11,33,216,5,0,67,5.0,0.023148148148148147
L13504E1,3,31,46,1,0,6,1.0,0.021739130434782608
V7A109E1,17,10,46,1,0,27,1.0,0.021739130434782608
M33042E1,12,9,97,2,0,23,2.0,0.020618556701030927
LKB2FAE1,22,24,50,1,0,16,1.0,0.02
R12002E1,17,10,54,1,0,12,1.0,0.018518518518518517
F11I02E1,22,24,110,2,0,13,2.0,0.01818181818181818
L11150E1,18,28,56,1,0,53,1.0,0.017857142857142856
K1AHWAE2,1,13,58,1,0,0,1.0,0.017241379310344827
L31013E1,7,37,59,1,0,22,1.0,0.01694915254237288
