exam,Exam Block,slot,size,b2bs,confs,2i3s,score,score_norm
M12353E1,23,24,105,0,2,72,2000.0,19.047619047619047
C81MJAE1,18,22,130,0,2,19,2000.0,15.384615384615385
F311X2E1,20,34,25,15,0,0,15.0,0.6
V11107E1,21,27,64,35,0,1,35.0,0.546875
V11111E1,20,26,114,39,0,24,39.0,0.34210526315789475
V7A214E1,23,24,25,7,0,4,7.0,0.28
M11341E1,4,3,85,20,0,26,20.0,0.23529411764705882
LKA1FAE1,2,12,141,33,0,0,33.0,0.23404255319148937
LK10SAE1,22,25,74,16,0,6,16.0,0.21621621621621623
AAA011E1,21,27,14,3,0,2,3.0,0.21428571428571427
G111VAE1,15,31,165,33,0,23,33.0,0.2
V7A204E1,22,25,65,13,0,13,13.0,0.2
V7A216E1,21,27,31,4,0,13,4.0,0.12903225806451613
W31A12E1,20,27,24,3,0,5,3.0,0.125
V7A105E1,12,33,40,5,0,16,5.0,0.125
F311M1E1,14,30,161,19,0,103,19.0,0.11801242236024845
V7A211E1,15,31,53,6,0,14,6.0,0.11320754716981132
L81112E1,12,33,89,10,0,16,10.0,0.11235955056179775
M3A010E1,5,4,187,21,0,0,21.0,0.11229946524064172
N11102E1,14,30,155,17,0,70,17.0,0.10967741935483871
V7A109E1,2,34,46,5,0,0,5.0,0.10869565217391304
AAA033E1,10,33,12,1,0,1,1.0,0.08333333333333333
Q3A308E1,12,33,26,2,0,11,2.0,0.07692307692307693
L31109E1,12,25,52,4,0,4,4.0,0.07692307692307693
L82111E1,13,13,70,5,0,11,5.0,0.07142857142857142
AAA022E1,5,4,28,2,0,0,2.0,0.07142857142857142
L31013E1,14,30,59,4,0,2,4.0,0.06779661016949153
R12025E1,19,28,16,1,0,8,1.0,0.0625
LK10GAE1,11,34,50,3,0,0,3.0,0.06
N13303E1,23,24,67,4,0,28,4.0,0.05970149253731343
LK44FAE1,21,26,52,3,0,20,3.0,0.057692307692307696
F311Z1E1,13,13,144,8,0,55,8.0,0.05555555555555555
H31BDAE1,13,13,127,7,0,8,7.0,0.05511811023622047
V72119E1,19,28,19,1,0,2,1.0,0.05263157894736842
V41112E1,13,13,19,1,0,7,1.0,0.05263157894736842
Q81001E1,23,24,100,5,0,30,5.0,0.05
V12131E1,20,26,21,1,0,13,1.0,0.047619047619047616
R11001E1,2,12,191,9,0,0,9.0,0.04712041884816754
L11120E1,1,11,89,4,0,85,4.0,0.0449438202247191
L31005E1,11,34,68,3,0,0,3.0,0.04411764705882353
C81HDAE1,19,28,194,8,0,24,8.0,0.041237113402061855
V11109E1,14,30,73,3,0,7,3.0,0.0410958904109589
C81HBAE1,13,13,171,7,0,68,7.0,0.04093567251461988
J5CCRME1,20,27,25,1,0,12,1.0,0.04
J51R01E1,13,13,104,4,0,18,4.0,0.038461538461538464
V11103E1,6,5,55,2,0,10,2.0,0.03636363636363636
N1A110E1,15,31,83,3,0,9,3.0,0.03614457831325301
J5CCCEE1,13,28,29,1,0,0,1.0,0.034482758620689655
G13MM2E1,2,12,29,1,0,0,1.0,0.034482758620689655
