exam,Exam Block,slot,size,b2bs,confs,2i3s,score,score_norm
M12353E1,13,13,105,2,2,29,2002.0,19.066666666666666
C81MJAE1,12,30,130,117,2,127,2117.0,16.284615384615385
C81HCAE1,10,31,216,132,0,24,132.0,0.6111111111111112
V7A105E1,22,7,40,14,0,15,14.0,0.35
LK44FAE1,22,7,52,18,0,7,18.0,0.34615384615384615
V7A107E1,6,6,67,22,0,24,22.0,0.3283582089552239
LK10JAE1,1,34,58,19,0,17,19.0,0.3275862068965517
LKB2FAE1,7,9,50,13,0,5,13.0,0.26
H53171E1,2,37,105,27,0,0,27.0,0.2571428571428571
HG2J3BE1,19,36,119,30,0,9,30.0,0.25210084033613445
H2CV03E1,7,4,16,4,0,8,4.0,0.25
HG3J5GE1,13,7,8,2,0,1,2.0,0.25
G11PR1E1,1,34,165,38,0,24,38.0,0.23030303030303031
R21104E1,1,34,41,9,0,4,9.0,0.21951219512195122
V81109E1,5,12,56,12,0,6,12.0,0.21428571428571427
AAA013E1,13,13,55,10,0,2,10.0,0.18181818181818182
N13305E1,17,6,28,5,0,13,5.0,0.17857142857142858
V11109E1,22,7,73,13,0,8,13.0,0.1780821917808219
Q4A101E1,6,6,49,8,0,4,8.0,0.16326530612244897
L11100E1,12,33,160,26,0,64,26.0,0.1625
Q3A308E1,22,7,26,4,0,4,4.0,0.15384615384615385
V41124E1,6,6,13,2,0,2,2.0,0.15384615384615385
M11341E1,1,34,85,13,0,23,13.0,0.15294117647058825
V7A211E1,10,31,53,8,0,12,8.0,0.1509433962264151
H6C162E1,6,6,60,9,0,25,9.0,0.15
L13516E1,2,7,20,3,0,0,3.0,0.15
R11003E1,12,33,109,16,0,6,16.0,0.14678899082568808
R22112E1,13,13,14,2,0,1,2.0,0.14285714285714285
F311X4E1,13,13,67,9,0,29,9.0,0.13432835820895522
V42103E1,20,10,15,2,0,2,2.0,0.13333333333333333
N1B407E1,22,12,38,5,0,12,5.0,0.13157894736842105
V7A216E1,19,36,31,4,0,9,4.0,0.12903225806451613
LKA1FAE1,7,9,141,18,0,23,18.0,0.1276595744680851
W31A12E1,22,7,24,3,0,2,3.0,0.125
F311Q1E1,12,33,157,19,0,3,19.0,0.12101910828025478
Q81001E1,6,6,100,12,0,26,12.0,0.12
H7CCNGE1,10,31,25,3,0,21,3.0,0.12
N13302E1,2,37,17,2,0,0,2.0,0.11764705882352941
M1B380E1,22,3,17,2,0,1,2.0,0.11764705882352941
M11343E1,17,30,94,11,0,16,11.0,0.11702127659574468
Q3A307E1,19,36,26,3,0,1,3.0,0.11538461538461539
LK10FAE1,6,12,44,5,0,5,5.0,0.11363636363636363
V41143E1,13,13,9,1,0,0,1.0,0.1111111111111111
LKA1RAE1,1,34,9,1,0,3,1.0,0.1111111111111111
V13197E1,5,12,9,1,0,5,1.0,0.1111111111111111
G12ME1E1,10,31,108,12,0,0,12.0,0.1111111111111111
Q3A201E1,2,34,64,7,0,18,7.0,0.109375
R13022E1,6,6,19,2,0,1,2.0,0.10526315789473684
R81015E1,7,9,19,2,0,0,2.0,0.10526315789473684
R13016E1,22,7,19,2,0,0,2.0,0.10526315789473684
M3B066E1,20,10,76,8,0,0,8.0,0.10526315789473684
LKA1GAE1,13,13,48,5,0,16,5.0,0.10416666666666667
L31013E1,12,33,59,6,0,6,6.0,0.1016949152542373
R22203E1,7,9,20,2,0,0,2.0,0.1
H7CAMFE1,6,30,30,3,0,5,3.0,0.1
G52OBJE1,17,30,61,6,0,1,6.0,0.09836065573770492
N1B410E1,12,33,114,11,0,40,11.0,0.09649122807017543
L31109E1,20,30,52,5,0,2,5.0,0.09615384615384616
M3A019E1,7,12,42,4,0,40,4.0,0.09523809523809523
V72121E1,20,10,42,4,0,1,4.0,0.09523809523809523
V81101E1,19,36,32,3,0,2,3.0,0.09375
R12002E1,22,12,54,5,0,18,5.0,0.09259259259259259
V7A204E1,7,9,65,6,0,26,6.0,0.09230769230769231
