a,b,c,co
507,518,456,77
518,457,507,77
507,518,457,77
507,456,518,77
511,460,453,77
507,457,518,77
457,507,518,77
453,460,511,77
453,511,460,77
460,453,511,77
460,511,453,77
457,518,507,77
518,507,457,77
511,453,460,77
456,507,518,77
518,507,456,77
518,456,507,77
456,518,507,77
527,526,525,72
526,527,525,72
526,525,527,72
527,525,526,72
525,526,527,72
525,527,526,72
18,507,518,63
507,18,518,63
518,507,18,63
518,18,507,63
507,518,18,63
18,518,507,63
453,460,521,55
521,460,453,55
460,521,453,55
460,453,521,55
453,521,460,55
521,453,460,55
18,455,511,42
18,511,455,42
511,18,455,42
455,511,18,42
455,18,511,42
511,455,18,42
507,518,60,39
518,60,507,39
60,507,518,39
60,518,507,39
518,507,60,39
507,60,518,39
493,507,518,39
493,518,507,39
518,493,507,39
507,493,518,39
507,518,493,39
518,507,493,39
460,511,521,29
493,229,260,29
460,521,511,29
521,511,460,29
493,260,229,29
260,493,229,29
511,521,460,29
260,229,493,29
229,493,260,29
229,260,493,29
521,460,511,29
511,460,521,29
453,511,521,28
453,521,511,28
511,453,521,28
521,511,453,28
511,521,453,28
521,453,511,28
260,227,493,27
493,260,227,27
227,260,493,27
493,227,260,27
227,493,260,27
260,493,227,27
459,485,467,26
371,372,410,26
372,371,410,26
467,485,459,26
372,410,371,26
371,410,372,26
485,467,459,26
459,467,485,26
485,459,467,26
410,372,371,26
467,459,485,26
410,371,372,26
449,511,479,25
511,464,380,25
449,479,511,25
511,380,464,25
479,449,511,25
464,511,380,25
464,380,511,25
380,511,464,25
380,464,511,25
479,511,449,25
511,449,479,25
511,479,449,25
372,410,369,24
410,372,369,24
410,369,371,24
410,371,369,24
410,369,372,24
372,371,369,24
369,372,371,24
372,369,410,24
369,410,371,24
19,486,374,24
374,19,486,24
369,371,372,24
369,371,410,24
372,369,371,24
374,486,19,24
486,19,374,24
369,372,410,24
19,374,486,24
486,374,19,24
369,410,372,24
371,369,372,24
371,369,410,24
371,372,369,24
371,410,369,24
56,81,103,23
510,456,518,23
510,518,456,23
456,510,518,23
466,25,16,23
456,518,510,23
56,103,81,23
533,532,220,23
533,220,532,23
518,456,510,23
25,16,466,23
532,533,220,23
25,466,16,23
532,220,533,23
81,56,103,23
518,510,456,23
16,466,25,23
460,63,453,23
460,453,63,23
453,460,63,23
453,63,460,23
63,460,453,23
63,453,460,23
103,81,56,23
466,16,25,23
103,56,81,23
81,103,56,23
220,532,533,23
16,25,466,23
220,533,532,23
224,66,10,22
66,10,224,22
10,224,66,22
10,66,224,22
224,10,66,22
66,224,10,22
274,19,486,22
19,274,486,22
477,518,507,22
486,19,274,22
274,486,19,22
518,507,477,22
486,274,19,22
518,477,507,22
19,486,274,22
507,477,518,22
373,507,518,22
373,518,507,22
507,373,518,22
507,518,373,22
507,518,477,22
518,373,507,22
518,507,373,22
477,507,518,22
446,518,507,21
494,116,123,21
446,507,518,21
507,518,446,21
195,346,33,21
507,446,518,21
518,507,446,21
518,446,507,21
346,195,33,21
490,380,29,21
380,29,490,21
490,29,380,21
346,33,195,21
518,507,455,21
518,455,507,21
507,518,455,21
507,455,518,21
455,518,507,21
455,507,518,21
380,490,29,21
195,33,346,21
33,346,195,21
29,490,380,21
494,123,116,21
116,494,123,21
123,494,116,21
29,380,511,21
29,511,380,21
380,29,511,21
380,511,29,21
33,195,346,21
511,380,29,21
29,380,490,21
511,29,380,21
123,116,494,21
116,123,494,21
18,518,511,20
18,511,518,20
18,507,455,20
455,18,507,20
455,507,18,20
507,18,455,20
507,455,18,20
518,511,18,20
518,18,511,20
511,518,18,20
511,18,518,20
494,21,63,20
18,455,507,20
21,63,494,20
21,494,63,20
63,21,494,20
63,494,21,20
494,63,21,20
456,493,518,19
518,493,456,19
456,518,493,19
29,490,511,19
29,511,490,19
518,456,493,19
493,518,456,19
30,510,520,19
510,30,520,19
30,520,510,19
493,456,518,19
511,380,490,19
490,380,511,19
380,490,511,19
